RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Nyahururururu, Busia, Mks, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3700.0, 3000.0, 4000.0, 3300.0, 2800.0, 3800.0, 3300.0, 2880.0, 3400.0, 3353.0, 4000.0, 2800.0, 372012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 4000.0, 5500.0, 2000.0, 2500.0, 1350.0, 5300.0, 3750.0, 2000.0, 2500.0, 3211.0, 5500.0, 1350.0, 372012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 5300.0, 6300.0, 7500.0, 5000.0, 6300.0, 7000.0, 6600.0, 5800.0, 6225.0, 6225.0, 7500.0, 5000.0, 372012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3900.0, 3150.0, 4000.0, 3000.0, 4500.0, 7000.0, 3300.0, 3400.0, 4031.0, 4031.0, 7000.0, 3000.0, 372012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 3775.0, 3775.0, 3775.0, 3000.0, 3000.0, 6000.0, 3100.0, 3775.0, 3775.0, 3775.0, 6000.0, 3000.0, 372012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 5300.0, 6460.0, 8000.0, 6460.0, 6460.0, 7000.0, 5500.0, 6460.0, 6500.0, 6460.0, 8000.0, 5300.0, 372012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 5300.0, 5400.0, 7200.0, 6000.0, 9000.0, 7000.0, 5400.0, 5400.0, 6400.0, 6344.0, 9000.0, 5300.0, 372012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 4900.0, 6300.0, 5864.0, 5200.0, 5850.0, 7200.0, 5100.0, 5864.0, 6500.0, 5864.0, 7200.0, 4900.0, 372012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5000.0, 6025.0, 6025.0, 5500.0, 6025.0, 7200.0, 6025.0, 6025.0, 6400.0, 6025.0, 7200.0, 5000.0, 372012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 6800.0, 8100.0, 8150.0, 7500.0, 10800.0, 7500.0, 8200.0, 8150.0, 8150.0, 8150.0, 8200.0, 10800.0, 372012.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46, 6800.0, 5400.0, 7200.0, 6300.0, 13500.0, 9800.0, 6300.0, 5400.0, 9200.0, 7767.0, 9800.0, 13500.0, 372012.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 6000.0, 5000.0, 7500.0, 7000.0, 5400.0, 9500.0, 6543.0, 5400.0, 6543.0, 6543.0, 9500.0, 5000.0, 372012.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 3600.0, 2900.0, 3000.0, 5000.0, 1785.0, 3139.0, 2550.0, 3139.0, 3139.0, 3139.0, 5000.0, 1785.0, 372012.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 12000.0, 12650.0, 9200.0, 12000.0, 11250.0, 14500.0, 10800.0, 14300.0, 12088.0, 12088.0, 9200.0, 10800.0, 372012.xls, 2020-01-09 13:10:47
22, ROOTS & TUBERS, Red Irish Potatoes, Bag, 110.0, 29, 2900.0, 2500.0, 4000.0, 2400.0, 2000.0, 2900.0, 2900.0, 3000.0, 3500.0, 2900.0, 4000.0, 2000.0, 372012.xls, 2020-01-09 13:10:47
23, ROOTS & TUBERS, White Irish Potatoes, Bag, 110.0, 30, 3000.0, 2800.0, 4000.0, 2400.0, 1800.0, 3800.0, 1700.0, 2938.0, 4000.0, 2938.0, 4000.0, 1700.0, 372012.xls, 2020-01-09 13:10:47
